date,price
1885/12/01,19.26
1886/01/01,18.91
1886/02/01,18.93
1886/03/01,18.21
1886/04/01,17.66
1886/05/01,17.02
1886/06/01,17.5
1886/07/01,17.48
1886/08/01,17.32
1886/09/01,17.49
1886/10/01,17.66
1886/11/01,17.82
1886/12/01,17.09
1887/01/01,16.78
1887/02/01,16.54
1887/03/01,16.8
1887/04/01,17.06
1887/05/01,17.23
1887/06/01,16.61
1887/07/01,16.09
1887/08/01,15.57
1887/09/01,15.26
1887/10/01,14.65
1887/11/01,14.83
1887/12/01,14.64
1888/01/01,15.1
1888/02/01,15.38
1888/03/01,15.16
1888/04/01,15.61
1888/05/01,16.24
1888/06/01,16.16
1888/07/01,17.04
1888/08/01,17.9
1888/09/01,18.88
1888/10/01,19.34
1888/11/01,19.53
1888/12/01,19.77
1889/01/01,19.9
1889/02/01,19.87
1889/03/01,19.22
1889/04/01,18.95
1889/05/01,19.23
1889/06/01,19.32
1889/07/01,18.71
1889/08/01,18.73
1889/09/01,18.97
1889/10/01,18.41
1889/11/01,18.03
1889/12/01,17.73
1890/01/01,17.98
1890/02/01,17.83
1890/03/01,17.75
1890/04/01,18.17
1890/05/01,19
1890/06/01,18.92
1890/07/01,18.83
1890/08/01,18.45
1890/09/01,18.19
1890/10/01,17.42
1890/11/01,16.2
1890/12/01,15.86
1891/01/01,16.45
1891/02/01,16.43
1891/03/01,15.9
1891/04/01,16.2
1891/05/01,15.93
1891/06/01,15.4
1891/07/01,14.94
1891/08/01,15.25
1891/09/01,16.27
1891/10/01,16.07
1891/11/01,15.63
1891/12/01,15.91
1892/01/01,16.09
1892/02/01,16
1892/03/01,16.06
1892/04/01,15.91
1892/05/01,15.8
1892/06/01,15.61
1892/07/01,15.5
1892/08/01,15.61
1892/09/01,15.12
1892/10/01,15.32
1892/11/01,15.16
1892/12/01,14.89
1893/01/01,15.55
1893/02/01,15.67
1893/03/01,15.5
1893/04/01,15.93
1893/05/01,14.93
1893/06/01,14.63
1893/07/01,13.67
1893/08/01,13.75
1893/09/01,15.2
1893/10/01,16.17
1893/11/01,16.98
1893/12/01,16.96
1894/01/01,17.16
1894/02/01,18
1894/03/01,19.19
1894/04/01,20.16
1894/05/01,20.16
1894/06/01,20.67
1894/07/01,21.07
1894/08/01,22.81
1894/09/01,24.22
1894/10/01,24.56
1894/11/01,25.79
1894/12/01,26.88
1895/01/01,25.37
1895/02/01,23.94
1895/03/01,22.96
1895/04/01,23
1895/05/01,23.34
1895/06/01,22.93
1895/07/01,22.21
1895/08/01,21.77
1895/09/01,21.19
1895/10/01,20.21
1895/11/01,18.93
1895/12/01,17.28
1896/01/01,17.31
1896/02/01,18.29
1896/03/01,18.25
1896/04/01,18.67
1896/05/01,18.86
1896/06/01,18.78
1896/07/01,17.82
1896/08/01,17.06
1896/09/01,18.23
1896/10/01,18.92
1896/11/01,20.53
1896/12/01,20.1
1897/01/01,19.33
1897/02/01,18.44
1897/03/01,17.83
1897/04/01,16.69
1897/05/01,16.21
1897/06/01,16.42
1897/07/01,16.62
1897/08/01,17.17
1897/09/01,17.47
1897/10/01,16.43
1897/11/01,15.41
1897/12/01,15.32
1898/01/01,15.58
1898/02/01,15.38
1898/03/01,14.53
1898/04/01,14.14
1898/05/01,14.91
1898/06/01,15.33
1898/07/01,15.24
1898/08/01,15.65
1898/09/01,15.47
1898/10/01,15
1898/11/01,15.34
1898/12/01,16.14
1899/01/01,16.85
1899/02/01,16.98
1899/03/01,16.73
1899/04/01,16.48
1899/05/01,15.36
1899/06/01,14.63
1899/07/01,14.75
1899/08/01,14.75
1899/09/01,14.23
1899/10/01,13.83
1899/11/01,13.77
1899/12/01,12.54
1900/1/1,12.71
1900/10/1,12.52
1900/11/1,13.5
1900/12/1,14.31
1900/2/1,12.94
1900/3/1,13.04
1900/4/1,13.21
1900/5/1,12.58
1900/6/1,12.21
1900/7/1,12.21
1900/8/1,12.38
1900/9/1,12.08
1901/1/1,14.68
1901/10/1,15.93
1901/11/1,16.22
1901/12/1,15.9
1901/2/1,15
1901/3/1,15.48
1901/4/1,16.72
1901/5/1,15.83
1901/6/1,17.35
1901/7/1,16.13
1901/8/1,16.3
1901/9/1,16.16
1902/1/1,15.9
1902/10/1,14.09
1902/11/1,13.31
1902/12/1,12.78
1902/2/1,15.7
1902/3/1,15.4
1902/4/1,15.61
1902/5/1,15.27
1902/6/1,14.88
1902/7/1,14.94
1902/8/1,15.05
1902/9/1,14.81
1903/1/1,13.61
1903/10/1,11.45
1903/11/1,11.67
1903/12/1,12.4
1903/2/1,13.71
1903/3/1,13.36
1903/4/1,12.99
1903/5/1,12.92
1903/6/1,12.38
1903/7/1,11.98
1903/8/1,11.77
1903/9/1,11.66
1904/1/1,12.68
1904/10/1,15.6
1904/11/1,16.56
1904/12/1,16.84
1904/2/1,12.42
1904/3/1,12.46
1904/4/1,12.85
1904/5/1,12.66
