date,price
1886/01/02,1
1886/02/01,1
1886/03/01,1
1886/04/01,1
1886/05/01,1
1886/06/01,1
1886/07/01,1
1886/08/02,1
1886/09/01,1
1886/10/01,1
1886/11/01,1
1886/12/01,1
1887/01/03,1
1887/02/01,1
1887/03/01,1
1887/04/01,1
1887/05/02,1
1887/06/01,1
1887/07/01,1
1887/08/01,1
1887/09/01,1
1887/10/01,1
1887/11/01,1
1887/12/01,1
1888/01/03,1
1888/02/01,1
1888/03/01,1
1888/04/02,1
1888/05/01,1
1888/06/01,1
1888/07/02,1
1888/08/01,1
1888/09/04,1
1888/10/01,1
1888/11/01,1
1888/12/01,1
1889/01/02,1
1889/02/01,1
1889/03/01,1
1889/04/01,1
1889/05/02,1
1889/06/01,1
1889/07/01,1
1889/08/01,1
1889/09/03,1
1889/10/01,1
1889/11/01,1
1889/12/02,1
1890/01/02,1
1890/02/01,1
1890/03/01,1
1890/04/01,1
1890/05/01,1
1890/06/02,1
1890/07/01,1
1890/08/01,1
1890/09/02,1
1890/10/01,1
1890/11/01,1
1890/12/01,1
1891/01/02,1
1891/02/02,1
1891/03/02,1
1891/04/01,1
1891/05/01,1
1891/06/01,1
1891/07/01,1
1891/08/01,1
1891/09/01,1
1891/10/01,1
1891/11/02,1
1891/12/01,1
1892/01/02,1
1892/02/01,1
1892/03/01,1
1892/04/01,1
1892/05/02,1
1892/06/01,1
1892/07/01,1
1892/08/01,1
1892/09/01,1
1892/10/01,1
1892/11/01,1
1892/12/01,1
1893/01/03,1
1893/02/01,1
1893/03/01,1
1893/04/01,1
1893/05/01,1
1893/06/01,1
1893/07/01,1
1893/08/01,1
1893/09/01,1
1893/10/02,1
1893/11/01,1
1893/12/01,1
1894/01/02,1
1894/02/01,1
1894/03/01,1
1894/04/02,1
1894/05/01,1
1894/06/01,1
1894/07/02,1
1894/08/01,1
1894/09/01,1
1894/10/01,1
1894/11/01,1
1894/12/01,1
1895/01/02,1
1895/02/01,1
1895/03/01,1
1895/04/01,1
1895/05/01,1
1895/06/01,1
1895/07/01,1
1895/08/01,1
1895/09/03,1
1895/10/01,1
1895/11/01,1
1895/12/02,1
1896/01/02,1
1896/02/01,1
1896/03/02,1
1896/04/01,1
1896/05/01,1
1896/06/01,1
1896/07/01,1
1896/08/01,1
1896/09/01,1
1896/10/01,1
1896/11/02,1
1896/12/01,1
1897/01/02,1
1897/02/01,1
1897/03/01,1
1897/04/01,1
1897/05/01,1
1897/06/01,1
1897/07/01,1
1897/08/02,1
1897/09/01,1
1897/10/01,1
1897/11/01,1
1897/12/01,1
1898/01/03,1
1898/02/01,1
1898/03/01,1
1898/04/01,1
1898/05/02,1
1898/06/01,1
1898/07/01,1
1898/08/01,1
1898/09/01,1
1898/10/01,1
1898/11/01,1
1898/12/01,1
1899/01/03,1
1899/02/01,1
1899/03/01,1
1899/04/01,1
1899/05/01,1
1899/06/01,1
1899/07/01,1
1899/08/01,1
1899/09/01,1
1899/10/02,1
1899/11/01,1
1899/12/01,1
1900/1/2,1
1900/2/1,1
1900/3/1,1
1900/4/2,1
1900/5/1,1
1900/6/1,1
1900/7/2,1
1900/8/1,1
1900/9/4,1
1900/10/1,1
1900/11/1,1
1900/12/1,1
1901/1/2,1
1901/2/1,1
1901/3/1,1
1901/4/1,1
1901/5/1,1
1901/6/1,1
1901/7/1,1
1901/8/1,1
1901/9/3,1
1901/10/1,1
1901/11/1,1
1901/12/2,1
1902/1/2,1
1902/2/1,1
1902/3/1,1
1902/4/1,1
1902/5/1,1
1902/6/2,1
1902/7/1,1
1902/8/1,1
1902/9/2,1
1902/10/1,1
1902/11/1,1
1902/12/1,1
1903/1/2,1
1903/2/2,1
1903/3/2,1
1903/4/1,1
1903/5/1,1
1903/6/1,1
1903/7/1,1
1903/8/1,1
1903/9/1,1
1903/10/1,1
1903/11/2,1
1903/12/1,1
1904/1/2,1
1904/2/1,1
1904/3/1,1
1904/4/2,1
1904/5/2,1
1904/6/1,1
1904/7/1,1
1904/8/1,1
1904/9/1,1
1904/10/1,1
1904/11/1,1
1904/12/1,1
1905/1/3,1
1905/2/1,1
1905/3/1,1
1905/4/1,1
1905/5/1,1
1905/6/1,1
1905/7/1,1
1905/8/1,1
1905/9/1,1
1905/10/2,1
1905/11/1,1
1905/12/1,1
1906/1/2,1
1906/2/1,1
1906/3/1,1
1906/4/2,1
1906/5/1,1
1906/6/1,1
1906/7/2,1
1906/8/1,1
1906/9/1,1
1906/10/1,1
1906/11/1,1
1906/12/1,1
1907/1/2,1
1907/2/1,1
1907/3/1,1
1907/4/1,1
1907/5/1,1
1907/6/1,1
1907/7/1,1
1907/8/1,1
1907/9/3,1
1907/10/1,1
1907/11/1,1
1907/12/2,1
1908/1/2,1
1908/2/1,1
1908/3/2,1
1908/4/1,1
1908/5/1,1
1908/6/1,1
1908/7/1,1
1908/8/1,1
1908/9/1,1
1908/10/1,1
1908/11/2,1
1908/12/1,1
1909/1/2,1
1909/2/1,1
1909/3/1,1
1909/4/1,1
1909/5/1,1
1909/6/1,1
1909/7/1,1
1909/8/2,1
1909/9/1,1
1909/10/1,1
1909/11/1,1
1909/12/1,1
1910/1/3,1
1910/2/1,1
1910/3/1,1
1910/4/1,1
1910/5/2,1
1910/6/1,1
1910/7/1,1
1910/8/1,1
1910/9/1,1
1910/10/1,1
1910/11/1,1
1910/12/1,1
1911/1/3,1
1911/2/1,1
1911/3/1,1
1911/4/1,1
1911/5/1,1
1911/6/1,1
1911/7/1,1
1911/8/1,1
1911/9/1,1
1911/10/2,1
1911/11/1,1
1911/12/1,1
1912/1/2,1
1912/2/1,1
1912/3/1,1
1912/4/1,1
1912/5/1,1
1912/6/1,1
1912/7/1,1
1912/8/1,1
1912/9/3,1
1912/10/1,1
1912/11/1,1
1912/12/2,1
1913/1/2,1
1913/2/1,1
1913/3/1,1
1913/4/1,1
1913/5/1,1
1913/6/2,1
1913/7/1,1
1913/8/1,1
1913/9/2,1
1913/10/1,1
1913/11/1,1
1913/12/1,1
1914/1/2,1
1914/2/2,1
1914/3/2,1
1914/4/1,1
1914/5/1,1
1914/6/1,1
1914/7/1,1
1914/12/12,1
1915/1/2,1
1915/2/1,1
1915/3/1,1
1915/4/1,1
1915/5/1,1
1915/6/1,1
1915/7/1,1
1915/8/2,1
1915/9/1,1
1915/10/1,1
1915/11/1,1
1915/12/1,1
1916/1/3,1
1916/2/1,1
1916/3/1,1
1916/4/1,1
1916/5/1,1
1916/6/1,1
1916/7/1,1
1916/8/1,1
1916/9/1,1
1916/10/2,1
1916/11/1,1
1916/12/1,1
1917/1/2,1
1917/2/1,1
1917/3/1,1
1917/4/2,1
1917/5/1,1
1917/6/1,1
1917/7/2,1
1917/8/1,1
1917/9/4,1
1917/10/1,1
1917/11/1,1
1917/12/1,1
