date,price
1928/1/3,1
1928/2/1,1
1928/3/1,1
1928/4/2,1
1928/5/1,1
1928/6/1,1
1928/7/2,1
1928/8/1,1
1928/9/1,1
1928/10/1,1
1928/11/1,1
1928/12/1,1
1929/1/2,1
1929/2/1,1
1929/3/1,1
1929/4/1,1
1929/5/1,1
1929/6/1,1
1929/7/1,1
1929/8/1,1
1929/9/3,1
1929/10/1,1
1929/11/4,1
1929/12/2,1
1930/1/2,1
1930/2/1,1
1930/3/1,1
1930/4/1,1
1930/5/1,1
1930/6/2,1
1930/7/1,1
1930/8/1,1
1930/9/2,1
1930/10/1,1
1930/11/1,1
1930/12/1,1
1931/1/2,1
1931/2/2,1
1931/3/2,1
1931/4/1,1
1931/5/1,1
1931/6/1,1
1931/7/1,1
1931/8/1,1
1931/9/1,1
1931/10/1,1
1931/11/2,1
1931/12/1,1
1932/1/2,1
1932/2/1,1
1932/3/1,1
1932/4/1,1
1932/5/2,1
1932/6/1,1
1932/7/1,1
1932/8/1,1
1932/9/1,1
1932/10/1,1
1932/11/1,1
1932/12/1,1
1933/1/3,1
1933/2/1,1
1933/3/1,1
1933/4/1,1
1933/5/1,1
1933/6/1,1
1933/7/1,1
1933/8/1,1
1933/9/1,1
1933/10/2,1
1933/11/1,1
1933/12/1,1
1934/1/2,1
1934/2/1,1
1934/3/1,1
1934/4/2,1
1934/5/1,1
1934/6/1,1
1934/7/2,1
1934/8/1,1
1934/9/1,1
1934/10/1,1
1934/11/1,1
1934/12/1,1
1935/1/2,1
1935/2/1,1
1935/3/1,1
1935/4/1,1
1935/5/1,1
1935/6/1,1
1935/7/1,1
1935/8/1,1
1935/9/3,1
1935/10/1,1
1935/11/1,1
1935/12/2,1
1936/1/2,1
1936/2/1,1
1936/3/2,1
1936/4/1,1
1936/5/1,1
1936/6/1,1
1936/7/1,1
1936/8/1,1
1936/9/1,1
1936/10/1,1
1936/11/2,1
1936/12/1,1
1937/1/2,1
1937/2/1,1
1937/3/1,1
1937/4/1,1
1937/5/1,1
1937/6/1,1
1937/7/1,1
1937/8/2,1
1937/9/1,1
1937/10/1,1
1937/11/1,1
1937/12/1,1
1938/1/3,1
1938/2/1,1
1938/3/1,1
1938/4/1,1
1938/5/2,1
1938/6/1,1
1938/7/1,1
1938/8/1,1
1938/9/1,1
1938/10/1,1
1938/11/1,1
1938/12/1,1
1939/1/3,1
1939/2/1,1
1939/3/1,1
1939/4/1,1
1939/5/1,1
1939/6/1,1
1939/7/1,1
1939/8/1,1
1939/9/1,1
1939/10/2,1
1939/11/1,1
1939/12/1,1
1940/1/2,1
1940/2/1,1
1940/3/1,1
1940/4/1,1
1940/5/1,1
1940/6/1,1
1940/7/1,1
1940/8/1,1
1940/9/3,1
1940/10/1,1
1940/11/1,1
1940/12/2,1
1941/1/2,1
1941/2/1,1
1941/3/1,1
1941/4/1,1
1941/5/1,1
1941/6/2,1
1941/7/1,1
1941/8/1,1
1941/9/2,1
1941/10/1,1
1941/11/1,1
1941/12/1,1
1942/1/2,1
1942/2/2,1
1942/3/2,1
1942/4/1,1
1942/5/1,1
1942/6/1,1
1942/7/1,1
1942/8/1,1
1942/9/1,1
1942/10/1,1
1942/11/2,1
1942/12/1,1
1943/1/2,1
1943/2/1,1
1943/3/1,1
1943/4/1,1
1943/5/1,1
1943/6/1,1
1943/7/1,1
1943/8/2,1
1943/9/1,1
1943/10/1,1
1943/11/1,1
1943/12/1,1
1944/1/3,1
1944/2/1,1
1944/3/1,1
1944/4/1,1
1944/5/1,1
1944/6/1,1
1944/7/1,1
1944/8/1,1
1944/9/1,1
1944/10/2,1
1944/11/1,1
1944/12/1,1
1945/1/2,1
1945/2/1,1
1945/3/1,1
1945/4/2,1
1945/5/1,1
1945/6/1,1
1945/7/2,1
1945/8/1,1
1945/9/4,1
1945/10/1,1
1945/11/1,1
1945/12/1,1
1946/1/2,1
1946/2/1,1
1946/3/1,1
1946/4/1,1
1946/5/1,1
1946/6/3,1
1946/7/1,1
1946/8/1,1
1946/9/3,1
1946/10/1,1
1946/11/1,1
1946/12/2,1
1947/1/2,1
1947/2/1,1
1947/3/1,1
1947/4/1,1
1947/5/1,1
1947/6/2,1
1947/7/1,1
1947/8/1,1
1947/9/2,1
1947/10/1,1
1947/11/1,1
1947/12/1,1
