date,price
1886/01/02,212.3
1886/02/01,216.75
1886/03/01,218.83
1886/04/01,218.65
1886/05/01,218.9
1886/06/01,220.68
1886/07/01,220.82
1886/08/02,221.07
1886/09/01,223.74
1886/10/01,225.96
1886/11/01,226.11
1886/12/01,227.92
1887/01/03,226.4
1887/02/01,228.55
1887/03/01,229.7
1887/04/01,230.74
1887/05/02,231.56
1887/06/01,232.26
1887/07/01,230.06
1887/08/01,229.31
1887/09/01,226.53
1887/10/01,227.91
1887/11/01,230.79
1887/12/01,229.35
1888/01/03,230.41
1888/02/01,233.43
1888/03/01,230.83
1888/04/02,230.99
1888/05/01,234.6
1888/06/01,237.07
1888/07/02,237.1
1888/08/01,238.66
1888/09/04,241.13
1888/10/01,239.54
1888/11/01,239.93
1888/12/01,241.39
1889/01/02,240.36
1889/02/01,243.36
1889/03/01,246.36
1889/04/01,245.31
1889/05/02,246.66
1889/06/01,247.67
1889/07/01,246.15
1889/08/01,246.31
1889/09/03,246.95
1889/10/01,245.78
1889/11/01,246.18
1889/12/02,247.08
1890/01/02,244.8
1890/02/01,241.08
1890/03/01,240.14
1890/04/01,239.81
1890/05/01,240.59
1890/06/02,241.74
1890/07/01,243.13
1890/08/01,246.03
1890/09/02,249.41
1890/10/01,246.48
1890/11/01,247.26
1890/12/01,246.05
1891/01/02,243.33
1891/02/02,244.25
1891/03/02,245.93
1891/04/01,247.62
1891/05/01,248.3
1891/06/01,248.98
1891/07/01,239.59
1891/08/01,239.62
1891/09/01,242.36
1891/10/01,240.47
1891/11/02,241.42
1891/12/01,244.05
1892/01/02,243.19
1892/02/01,244.01
1892/03/01,245.75
1892/04/01,243.58
1892/05/02,246.37
1892/06/01,248.66
1892/07/01,246.85
1892/08/01,246.62
1892/09/01,244.81
1892/10/01,245.12
1892/11/01,245.97
1892/12/01,245.61
1893/01/03,244.58
1893/02/01,243.95
1893/03/01,246.02
1893/04/01,246.07
1893/05/01,245.71
1893/06/01,242.48
1893/07/01,240.48
1893/08/01,242.58
1893/09/01,246.61
1893/10/02,246.24
1893/11/01,251.13
1893/12/01,254.93
1894/01/02,252.61
1894/02/01,255.59
1894/03/01,257.17
1894/04/02,258.2
1894/05/01,257.82
1894/06/01,259.71
1894/07/02,259.89
1894/08/01,260.94
1894/09/01,262.83
1894/10/01,262.74
1894/11/01,265.22
1894/12/01,265.98
1895/01/02,261.57
1895/02/01,275.49
1895/03/01,278.44
1895/04/01,282.12
1895/05/01,285.38
1895/06/01,290.11
1895/07/01,290.74
1895/08/01,287.55
1895/09/03,289.22
1895/10/01,278.93
1895/11/01,287.28
1895/12/02,286.74
1896/01/02,277.54
1896/02/01,276.85
1896/03/02,280.8
1896/04/01,284.15
1896/05/01,283.15
1896/06/01,284.41
1896/07/01,279
1896/08/01,274.03
1896/09/01,282.47
1896/10/01,286.34
1896/11/02,293.75
1896/12/01,295.19
1897/01/02,301.87
1897/02/01,304.09
1897/03/01,306.77
1897/04/01,309.31
1897/05/01,307.18
1897/06/01,312.23
1897/07/01,316.2
1897/08/02,315.93
1897/09/01,317.08
1897/10/01,322.03
1897/11/01,325.26
1897/12/01,328.65
1898/01/03,329.64
1898/02/01,323.01
1898/03/01,312.98
1898/04/01,308.86
1898/05/02,313.9
1898/06/01,319.59
1898/07/01,328.87
1898/08/01,331.03
1898/09/01,332.07
1898/10/01,333.74
1898/11/01,333.48
1898/12/01,337.46
1899/01/03,340.81
1899/02/01,339.54
1899/03/01,341.58
1899/04/01,345.12
1899/05/01,345.33
1899/06/01,349.04
1899/07/01,347.94
1899/08/01,349.67
1899/09/01,350.39
1899/10/02,351.29
1899/11/01,354.05
1899/12/01,363.22
1900/1/2,364.12
1900/2/1,366.4
1900/3/1,370.88
1900/4/2,365.8
1900/5/1,369.79
1900/6/1,370.55
1900/7/2,369.91
1900/8/1,367.73
1900/9/4,371.59
1900/10/1,372.68
1900/11/1,380.39
1900/12/1,385.5
1901/1/2,387.64
1901/2/1,388.57
1901/3/1,388.1
1901/4/1,392.04
1901/5/1,391.39
1901/6/1,393.58
1901/7/1,393.27
1901/8/1,390.49
1901/9/3,394.11
1901/10/1,398.98
1901/11/1,399.93
1901/12/2,401.25
1902/1/2,402.93
1902/2/1,403.89
1902/3/1,404.85
1902/4/1,405.45
1902/5/1,405.69
1902/6/2,395.4
1902/7/1,386.17
1902/8/1,387.5
1902/9/2,402.4
1902/10/1,405.58
1902/11/1,402.88
1902/12/1,400.92
1903/1/2,401.9
1903/2/2,404.37
1903/3/2,409.08
1903/4/1,404.11
1903/5/1,407.91
1903/6/1,406.1
1903/7/1,404.1
1903/8/1,405.1
1903/9/1,408.57
1903/10/1,410.13
1903/11/2,408.5
1903/12/1,409.13
1904/1/2,409.37
1904/2/1,406.57
1904/3/1,408.37
